word;metric
may;0.7346652980819627
find;0.62596935275784
unexpectedly;0.4169675714182484
throw;0.779073351716266
new;0.6507083313996344
strange;0.35183670960749125
position;0.7166479629557564
look;0.5375676337225197
carefully;0.22366383088742162
around;0.48407742646211577
fear;0.601719547347013
move;0.5710643475078655
lest;0.6523217780167125
mistake;0.47096259080404945
step;0.7267929782412749
injury;0.686373875993575
cause;0.6084747285727536
heart;0.6399139539619413
serve;0.5010832405006965
first;0.6479720008491698
foremost;0.4474667127882213
draw;0.8203012088894567
forth;0.6703762339096629
case;0.6512732224827698
corner;0.4713538450225391
lodging;0.3123450107179282
brass;0.40366763811931994
blue;0.7126938820736298
coat;0.6453039195215798
popular;0.501442988234882
cut;0.5500322812006215
fall;0.8108500758827131
beat;0.45768100545007195
shoulder;0.502880662000198
back;0.6446578715386572
yard;0.6848236635062659
stick;0.3437499586785241
hand;0.45445832312805806
body;0.701143063981018
person;0.6273855154340203
dire;0.8250450334049065
enemy;0.4798619531326531
world;0.5763285535327747
twist;0.623376437747167
right;0.7146030003198571
arm;0.6518586177174475
dash;0.6521790324909383
place;0.7709087553653143
rib;0.38596525389690434
might;0.5880687365238543
upon;0.6011724799511465
breast;0.6364059249862529
horribly;0.2853719314354908
cast;0.8096678309652752
aside;0.6304618347571415
fasten;0.3879082948941381
fiercely;0.30582500539230595
collar;0.6630544528724106
give;0.7278193004271526
whole;0.5486326613653735
mighty;0.5469748820401382
shake;0.5959774746747731
would;0.5893179422567866
life;0.711103276444698
latter;0.67819364923693
city;0.5836453230353782
great;0.695797871129381
discovery;0.7675399458667708
make;0.556183965141534
public;0.5769463490093836
rather;0.636296030268543
suspect;0.5456780703962821
farmer;0.539276109317276
say;0.6046972126360557
wash;0.4843870729919276
wait;0.6189353827514069
immediately;0.5776100992041228
presently;0.31096832047963907
enter;0.5587231206707792
room;0.5648480743168826
roll;0.6876169845580506
sleeve;0.45784703117632064
distance;0.7295578867269209
level;0.6081932262623106
ground;0.6315896634769235
elevated;0.6030429185884278
point;0.7018451075477804
always;0.5087887430778523
deceive;0.27458671257244366
answer;0.6594780588336351
profess;0.4463823843569827
religious;0.6859233109808925
hope;0.707372505488611
spite;0.6425095686619384
malicious;0.38817723542941923
slander;0.3337905262977927
serious;0.5598217602234935
conscientious;0.30006621295974917
belief;0.5415769286734805
create;0.6156635068292377
govern;0.6093838373191495
nation;0.4643380645682078
frown;0.4737630365406077
people;0.6054530874613419
go;0.6679777423903032
war;0.700136038623412
alternative;0.7131960001355218
avoid;0.4250666407106307
honor;0.7632566231200263
man;0.5122973120093088
part;0.6953661252171559
lewis;0.558810353440867
opinion;0.48943897891433163
figure;0.6706440157614956
slight;0.5040517444172212
acquire;0.49998854156179956
little;0.47066314198964626
stoop;0.4868351667159049
bend;0.711687117972473
constantly;0.45600915517478274
needle;0.39742826059436936
embarrassment;0.32082883113633925
inquiry;0.7088014260316293
respect;0.6606678076693467
law;0.7534143191219026
supplement;0.7174819709961195
research;0.5992504857680033
vision;0.80499454952371
treatise;0.5399540325874062
commentary;0.6440648931368576
mars;0.6806087755012247
discover;0.49403353161492475
orbit;0.6910261337583626
sun;0.43705574396037866
one;0.5236541674544537
focus;0.5749043641528001
extend;0.43482321087558323
planet;0.693308086332556
establish;0.6487400334771862
two;0.7172579578372328
physical;0.5523646114963611
astronomy;0.6883820041621667
family;0.5566391020263319
distress;0.3678654562095123
death;0.5055920151118243
wife;0.6525656006714915
appoint;0.38767019667029434
professor;0.5580573793947912
mathematics;0.5602086698316614
method;0.49797775232769925
choose;0.4534483368656785
second;0.5369243208597739
character;0.5202562488656716
origin;0.5542404198893163
gauge;0.795036520803991
diet;0.7130201638566351
change;0.7554145650992098
happen;0.5504108612841958
half;0.7303377949785625
hour;0.6710050930782504
receive;0.6511369883694157
warning;0.6070948082442732
another;0.5545711813950789
deliver;0.5947227260286552
bread;0.6911832783600713
mother;0.6158309502129928
capital;0.6309222856650735
leave;0.704293318756455
us;0.5844103457230696
next;0.5989272891079908
week;0.708571168250299
act;0.48837400787733304
childish;0.3858844201445314
lose;0.6230409818176554
father;0.6476936372534957
every;0.506171958488018
thing;0.5362265312804029
else;0.37958117697877886
master;0.653060027486982
honest;0.391637284066978
youth;0.6204152952789813
good;0.7373790519496822
brave;0.6065129941138879
follower;0.2673907825641362
hawk;0.7983858508929086
hound;0.5751506805902363
captain;0.4350695646071763
son;0.7926552823904448
rock;0.7022198076649637
wave;0.34992108021613927
silence;0.678689666883308
lone;0.7477141129666803
deep;0.7072971546132485
become;0.6220065688660142
calm;0.3638569700046741
peace;0.5746566063243751
return;0.442401468006885
soul;0.5996736474189521
face;0.6081932380526495
except;0.7233798699649453
color;0.6968841673802377
bright;0.6628876443230386
former;0.76381432944995
period;0.7335304370038563
frank;0.7686678709352924
loyal;0.5037729857909254
straightforward;0.3282388034808336
constituency;0.4277129878991057
skill;0.6773577938102933
worthy;0.22592085253206942
better;0.5507676584910898
enterprise;0.6490952512410435
kind;0.5788508769226579
employ;0.35412938282168976
time;0.681613278439873
pull;0.61987277402218
corn;0.7548644313056917
scratch;0.6012032250393466
newly;0.6709326618560841
flower;0.5955751727744296
tangle;0.43191106806816854
yarn;0.3865819010388112
knitting;0.373486869056493
peck;0.6737899609263484
eye;0.5172058607949038
sleep;0.6336505520114327
bite;0.39045330662898525
child;0.7384427540679225
miscellaneous;0.4736654672968348
mischief;0.28269646114645663
occur;0.44356607029313405
horrible;0.23237302849648092
come;0.4185048647659216
moon;0.6448724033219887
western;0.6921141457971448
field;0.47396579644113984
white;0.41834079412172304
clear;0.6225905308246152
silver;0.6759270595730051
tip;0.5981911562011006
burst;0.14551593706471797
impostor;0.2604117734782737
palm;0.8141444083374897
enthusiast;0.32124251945596616
believe;0.5960597027230669
inferior;0.5456763006886017
mind;0.6899927926611213
consider;0.3318104521347522
pure;0.6983963260913407
water;0.6505610191473579
whether;0.5568369704241592
liquid;0.6745029979059551
solid;0.6251999392667341
general;0.617441408694416
harry;0.3985371222263152
cotton;0.6668812100884767
escape;0.5376302099701182
yes;0.5914783121494204
witness;0.5047307660659698
misery;0.3271868771130165
open;0.5544526553852067
approach;0.4517793346175747
candle;0.4075773689711971
hold;0.6475748219935853
closely;0.5034434644610082
hie;0.8629239797345215
ocean;0.5058983218598049
side;0.6326476694738188
high;0.5092014992491283
spread;0.703677109547925
wide;0.7837300529460564
gaze;0.2862859580037408
beaming;0.4340694962134437
indifferent;0.31657565367132806
oppose;0.6842155007983842
active;0.4277531073373547
friend;0.5709172301879146
day;0.7040920073403013
many;0.6801574537290582
revival;0.6113026219614923
since;0.3414603983312276
year;0.6755260522034854
worldliness;0.2311946241490388
guilty;0.5942518314485277
inconsistency;0.30319486816538715
wrong;0.5264617491334291
grace;0.6349590922935099
enough;0.4506102254467627
confession;0.5695388869349276
unto;0.468264628051541
salvation;0.6386491549570069
well;0.7208262926931555
know;0.6306895726922429
fact;0.46966613787059147
hundred;0.5884635368291372
different;0.4976719927302329
variety;0.5706780001806514
pear;0.5379817339012665
tree;0.687790044121097
produce;0.6810887641609764
fruit;0.5244397726177834
proper;0.5564445936391679
form;0.7183745338224381
quality;0.6714514364398829
least;0.6976098557218267
several;0.5455196237231805
distinct;0.4884439180190809
though;0.48683409588705173
nearly;0.47530416713402834
relate;0.43018835325043164
species;0.6637428841301235
stock;0.6873017654268003
peach;0.6228752788629204
apricot;0.2831594062633917
plum;0.4833445124770587
prove;0.45585364814162826
woman;0.4597269284236972
call;0.48586455818389584
trouble;0.4647438396382091
fountain;0.6372274367863855
pride;0.6922119434123273
nigh;0.40486529190123643
still;0.6615223228362053
acknowledge;0.04096523684016881
far;0.6018727350986303
trust;0.5032006508633158
decline;0.5932655996308989
office;0.5346437732990452
personal;0.5990942042633134
